"","run_id","model","accuracy","kappa","sensitivity","specificity","balanced_accuracy","rank_accuracy","rank_kappa","rank_sensitivity","rank_specificity","rank_balanced_accuracy","rank_sum","rank_avg","inverse","plot_title"
"1",42,"ensemble",0.941152263374486,0.626019467880871,0.956792873051225,0.751351351351351,0.854072112201288,35,3,60,17,14,129,43,0.00775193798449612,"1/Performance Rank"
"2",43,"ensemble",0.941358024691358,0.627692445089779,0.957461024498886,0.745945945945946,0.851703485222416,31.5,2,56,22,20,131.5,43.8333333333333,0.00760456273764259,"1/Performance Rank"
"3",38,"ensemble",0.942592592592593,0.629115030907086,0.960133630289532,0.72972972972973,0.844931680009631,20.5,1,43,40.5,36,141,47,0.00709219858156028,"1/Performance Rank"
"4",40,"ensemble",0.940946502057613,0.624244970417861,0.957461024498886,0.74054054054054,0.849000782519713,38,6,56,28.5,25,153.5,51.1666666666667,0.00651465798045603,"1/Performance Rank"
"5",58,"ensemble",0.940534979423868,0.622552334923319,0.956570155902004,0.745945945945946,0.851258050923975,45.5,8,61.5,23.5,21,159.5,53.1666666666667,0.00626959247648903,"1/Performance Rank"
"6",30,"ensemble",0.943004115226337,0.625808081001509,0.961692650334076,0.716216216216216,0.838954433275146,14.5,5,39,53.5,52,164,54.6666666666667,0.00609756097560976,"1/Performance Rank"
"7",33,"ensemble",0.940946502057613,0.619379089652543,0.958129175946548,0.732432432432432,0.84528080418949,38,15,51.5,36.5,34,175,58.3333333333333,0.00571428571428571,"1/Performance Rank"
"8",6,"ensemble",0.943004115226337,0.620854886782462,0.962583518930958,0.705405405405405,0.833994462168182,14.5,11,34.5,58,58,176,58.6666666666667,0.00568181818181818,"1/Performance Rank"
"9",67,"ensemble",0.938477366255144,0.625831161831468,0.951893095768374,0.775675675675676,0.863784385722025,69.5,4,85,10.5,10,179,59.6666666666667,0.00558659217877095,"1/Performance Rank"
"10",39,"ensemble",0.942181069958848,0.622094541609614,0.960801781737194,0.716216216216216,0.838508998976705,26.5,9,41,53.5,54,184,61.3333333333333,0.00543478260869565,"1/Performance Rank"
"11",31,"ensemble",0.940740740740741,0.619521478814063,0.958129175946548,0.72972972972973,0.843929452838139,42,13,51.5,40.5,38,185,61.6666666666667,0.00540540540540541,"1/Performance Rank"
"12",20,"ensemble",0.945473251028807,0.620026266284963,0.968819599109131,0.662162162162162,0.815490880635647,4.5,12,15.5,78.5,75,185.5,61.8333333333333,0.00539083557951483,"1/Performance Rank"
"13",66,"ensemble",0.938888888888889,0.619342738321457,0.9543429844098,0.751351351351351,0.852847167880575,63,16,75,17,16,187,62.3333333333333,0.0053475935828877,"1/Performance Rank"
"14",70,"ensemble",0.938271604938272,0.621917429185048,0.952338530066815,0.767567567567567,0.859953048817191,72.5,10,81.5,12.5,12,188.5,62.8333333333333,0.00530503978779841,"1/Performance Rank"
"15",29,"ensemble",0.94156378600823,0.619381778053816,0.959910913140312,0.718918918918919,0.839414916029615,30,14,45,51.5,50,190.5,63.5,0.005249343832021,"1/Performance Rank"
"16",61,"ensemble",0.939300411522634,0.617205502214803,0.955233853006682,0.745945945945946,0.850589899476314,56.5,21,68,23.5,22,191,63.6666666666667,0.00523560209424084,"1/Performance Rank"
