"","run_id","model","Metric","word2vecdim","max_length","epochs","patience","N","Value","sd","se","ci"
"1",1,"description","accuracy",32,150,100,5,5,0.939711934156379,0.00225400229425995,0.00100802047028115,0.00279871350065126
"2",1,"description","kappa",32,150,100,5,5,0.485558626535055,0.0343446423157657,0.0153593909761936,0.0426445058946718
"3",1,"description","sensitivity",32,150,100,5,5,0.982182628062361,0.00431289904922876,0.00192878709083394,0.00535517147731459
"4",1,"description","specificity",32,150,100,5,5,0.424324324324324,0.0519875244910036,0.0232495277487639,0.0645510375162157
"5",1,"description","balanced_accuracy",32,150,100,5,5,0.703253476193343,0.0242130770463052,0.0108284172439957,0.0300645060541311
"6",2,"description","accuracy",100,150,100,5,5,0.937654320987654,0.00606908691512454,0.00271417818071459,0.00753576672447969
"7",2,"description","kappa",100,150,100,5,5,0.467695141175845,0.0690571265098279,0.0308832858413556,0.085745747806656
"8",2,"description","sensitivity",100,150,100,5,5,0.980846325167038,0.00765058531729069,0.00342144576742476,0.00949945635366618
"9",2,"description","specificity",100,150,100,5,5,0.413513513513514,0.0857868662059669,0.0383650528826443,0.106518463286672
"10",2,"description","balanced_accuracy",100,150,100,5,5,0.697179919340276,0.0406966344936542,0.0182000882366547,0.0505315458988278
"11",3,"description","accuracy",300,150,100,5,5,0.937860082304527,0.00258228403251259,0.00115483252678209,0.00320632911630732
"12",3,"description","kappa",300,150,100,5,5,0.450884659051546,0.0319747207183563,0.0142995298175631,0.039701859568603
"13",3,"description","sensitivity",300,150,100,5,5,0.983741648106904,0.00587145938817998,0.00262579646381995,0.00729037973921858
"14",3,"description","specificity",300,150,100,5,5,0.381081081081081,0.0552238290316285,0.0246968471385095,0.068569440351533
"15",3,"description","balanced_accuracy",300,150,100,5,5,0.682411364593993,0.025046428427903,0.0112011033116748,0.0310992484625144
"16",4,"description","accuracy",32,300,100,5,5,0.950205761316872,0.00474814023012934,0.00212343286425414,0.00589559478217454
"17",4,"description","kappa",32,300,100,5,5,0.602073213944503,0.054583196779517,0.0244103476856495,0.067773990347998
"18",4,"description","sensitivity",32,300,100,5,5,0.982182628062361,0.0110520229628503,0.0049426149267644,0.0137228990202926
"19",4,"description","specificity",32,300,100,5,5,0.562162162162162,0.114107199095052,0.0510302907797276,0.141682801052195
"20",4,"description","balanced_accuracy",32,300,100,5,5,0.772172395112262,0.0522204566637204,0.0233536981832322,0.0648402610091015
"21",5,"description","accuracy",100,300,100,5,5,0.950617283950617,0.00378007676355427,0.00169050172069495,0.00469358522775194
"22",5,"description","kappa",100,300,100,5,5,0.599352141246103,0.0447343258644133,0.020005798712091,0.0555450019097575
"23",5,"description","sensitivity",100,300,100,5,5,0.983964365256125,0.00706929632432244,0.00316148542685488,0.00877769073854538
"24",5,"description","specificity",100,300,100,5,5,0.545945945945946,0.0808555421710897,0.0361596977304315,0.100395415769088
"25",5,"description","balanced_accuracy",100,300,100,5,5,0.764955155601035,0.0375684718311891,0.0168011313650649,0.0466474189403197
"26",6,"description","accuracy",300,300,100,5,5,0.943004115226337,0.00913265062599675,0.00408424552289695,0.0113396834904732
"27",6,"description","kappa",300,300,100,5,5,0.535119653708175,0.0797978816166379,0.0356866975510566,0.0990821567363053
"28",6,"description","sensitivity",300,300,100,5,5,0.980400890868597,0.00885983264183344,0.00396223761128222,0.0110009352214751
"29",6,"description","specificity",300,300,100,5,5,0.489189189189189,0.0913537501684085,0.0408546390752188,0.113430662685014
"30",6,"description","balanced_accuracy",300,300,100,5,5,0.734795040028893,0.0446361426766899,0.0199618898556916,0.0554230913803324
"31",7,"description","accuracy",32,600,100,5,5,0.949794238683128,0.00531605377891516,0.00237741152433979,0.00660075258979403
"32",7,"description","kappa",32,600,100,5,5,0.578825999766214,0.0777162578876163,0.0347557671187228,0.0964974794941725
"33",7,"description","sensitivity",32,600,100,5,5,0.985300668151448,0.0109505744044005,0.00489724575218174,0.0135969339975957
"34",7,"description","specificity",32,600,100,5,5,0.518918918918919,0.135337686038425,0.0605248531798883,0.168043932354116
"35",7,"description","balanced_accuracy",32,600,100,5,5,0.752109793535183,0.062994944797942,0.028172195761409,0.0782185550244381
"36",8,"description","accuracy",100,600,100,5,5,0.940329218106996,0.0156534198093651,0.00700042215481645,0.0194362878260583
"37",8,"description","kappa",100,600,100,5,5,0.541894522377476,0.0685269027239491,0.0306461625556531,0.085087388020739
"38",8,"description","sensitivity",100,600,100,5,5,0.975055679287305,0.0193776719235245,0.00866595833333796,0.0240605575964442
"39",8,"description","specificity",100,600,100,5,5,0.518918918918919,0.0791435160234936,0.0353940563613751,0.0982696545376348
"40",8,"description","balanced_accuracy",100,600,100,5,5,0.746987299103112,0.0355319340211608,0.0158903639686706,0.0441187232606268
"41",9,"description","accuracy",300,600,100,5,5,0.945473251028807,0.0128703662584329,0.00575580276983514,0.0159806704267927
"42",9,"description","kappa",300,600,100,5,5,0.493657445036568,0.272426175564227,0.121832689482381,0.338261774366438
"43",9,"description","sensitivity",300,600,100,5,5,0.984632516703786,0.0118218548125525,0.0052868941962001,0.0146787715127384
"44",9,"description","specificity",300,600,100,5,5,0.47027027027027,0.283204041025508,0.126652697447135,0.351644261887195
"45",9,"description","balanced_accuracy",300,600,100,5,5,0.727451393487028,0.136376432706271,0.0609893948120297,0.169333706694835
