"","ensemble_id","desc_run_id","mesh_run_id","model","Metric","N","Value","sd","se","ci"
"1",1,1,1,"ensemble","accuracy",5,0.94238683127572,0.00471458404830847,0.00210842608353078,0.00585392927929038
"2",1,1,1,"ensemble","kappa",5,0.61592835690129,0.0321340947167051,0.0143708040363939,0.0398997485246025
"3",1,1,1,"ensemble","sensitivity",5,0.962806236080178,0.00428404990237671,0.00191588536014313,0.00531935053028951
"4",1,1,1,"ensemble","specificity",5,0.694594594594595,0.0454263143620854,0.0203152653761796,0.0564042191144881
"5",1,1,1,"ensemble","balanced_accuracy",5,0.828700415337386,0.0223894841071884,0.0100128816889649,0.0278002163542511
"6",2,1,2,"ensemble","accuracy",5,0.94238683127572,0.00411522633744855,0.00184038516666649,0.0051097283876698
"7",2,1,2,"ensemble","kappa",5,0.609210164351213,0.0359524428859628,0.0160784212500383,0.0446408539789771
"8",2,1,2,"ensemble","sensitivity",5,0.964365256124722,0.00111358574610243,0.000498010685411971,0.00138269932984827
"9",2,1,2,"ensemble","specificity",5,0.675675675675676,0.0505629376591073,0.0226124331495696,0.0627821793347349
"10",2,1,2,"ensemble","balanced_accuracy",5,0.820020465900199,0.0253618768723901,0.0113421761447288,0.0314909294393235
"11",3,1,3,"ensemble","accuracy",5,0.943004115226337,0.00552115549999947,0.00246913580246913,0.00685542001283404
"12",3,1,3,"ensemble","kappa",5,0.606841039173268,0.0488385569945501,0.0218412666725624,0.0606410779443555
"13",3,1,3,"ensemble","sensitivity",5,0.966146993318486,0.00186338535976411,0.00083333126654209,0.00231369851599906
"14",3,1,3,"ensemble","specificity",5,0.662162162162162,0.0689056691026052,0.0308155520297064,0.0855576885968463
"15",3,1,3,"ensemble","balanced_accuracy",5,0.814154577740324,0.034465429924334,0.0154134088369132,0.0427944835196602
"16",4,1,4,"ensemble","accuracy",5,0.941975308641975,0.00649045691176443,0.00290262057194772,0.00805896667923068
"17",4,1,4,"ensemble","kappa",5,0.607931409331389,0.0511574665680066,0.0228783145605471,0.0635203844768064
"18",4,1,4,"ensemble","sensitivity",5,0.96369710467706,0.00339598010734452,0.00151872847405188,0.00421666623790584
"19",4,1,4,"ensemble","specificity",5,0.678378378378378,0.0698270847716963,0.0312276216440307,0.0867017772605376
"20",4,1,4,"ensemble","balanced_accuracy",5,0.821037741527719,0.0351587065373255,0.0157234515636852,0.0436553001308084
"21",5,1,5,"ensemble","accuracy",5,0.943621399176955,0.0065634312377517,0.00293525568265168,0.00814957627260226
"22",5,1,5,"ensemble","kappa",5,0.615595233410726,0.051177255838999,0.02288716459158,0.0635449561021484
"23",5,1,5,"ensemble","sensitivity",5,0.965478841870824,0.00304968016428266,0.00136385843139375,0.00378667806602592
"24",5,1,5,"ensemble","specificity",5,0.678378378378378,0.0650897004259043,0.0291089989574838,0.0808195376727136
"25",5,1,5,"ensemble","balanced_accuracy",5,0.821928610124601,0.0331528815147435,0.0148264193433925,0.0411647394135721
"26",6,1,6,"ensemble","accuracy",5,0.943004115226337,0.00537545287144573,0.00240397560607982,0.00667450630451521
"27",6,1,6,"ensemble","kappa",5,0.620854886782462,0.0480651245327667,0.0214953771604518,0.0596807347015169
"28",6,1,6,"ensemble","sensitivity",5,0.962583518930958,0.00612978126704802,0.00274132152006483,0.00761112871615738
"29",6,1,6,"ensemble","specificity",5,0.705405405405405,0.0862115562580356,0.038554980047803,0.107045785634721
"30",6,1,6,"ensemble","balanced_accuracy",5,0.833994462168182,0.0412685992080319,0.0184558786330707,0.0512417338929136
"31",7,1,7,"ensemble","accuracy",5,0.943004115226337,0.00707561681648124,0.00316431203687854,0.00878553866610988
"32",7,1,7,"ensemble","kappa",5,0.614768973901525,0.0520916476802945,0.0232960930546215,0.0646803235317363
"33",7,1,7,"ensemble","sensitivity",5,0.964365256124722,0.00369334609170979,0.00165171458509925,0.00458589487498263
"34",7,1,7,"ensemble","specificity",5,0.683783783783784,0.0638146970438789,0.0285388001107336,0.0792364118756646
"35",7,1,7,"ensemble","balanced_accuracy",5,0.824074519954253,0.0327743602094417,0.0146571394694752,0.0406947431362258
"36",8,1,8,"ensemble","accuracy",5,0.942181069958848,0.00579246430463345,0.00259046878848029,0.00719229438794376
"37",8,1,8,"ensemble","kappa",5,0.612688880697176,0.0457954411302407,0.0204803438853616,0.0568625505332798
"38",8,1,8,"ensemble","sensitivity",5,0.963028953229399,0.00182980809856956,0.000818315058836236,0.00227200683961551
"39",8,1,8,"ensemble","specificity",5,0.689189189189189,0.0619266985804843,0.0276944615296205,0.0768921521550035
"40",8,1,8,"ensemble","balanced_accuracy",5,0.826109071209294,0.0314589090838471,0.0140688518418936,0.0390613948321783
"41",9,1,9,"ensemble","accuracy",5,0.941152263374486,0.00223039952558422,0.000997464991237922,0.00276940679252869
"42",9,1,9,"ensemble","kappa",5,0.542840538921254,0.104000996330584,0.0465106595045785,0.129134292921008
"43",9,1,9,"ensemble","sensitivity",5,0.97260579064588,0.0188258578699369,0.00841917958638565,0.0233753899524016
"44",9,1,9,"ensemble","specificity",5,0.559459459459459,0.215072991160354,0.0961835656717527,0.267048390109808
"45",9,1,9,"ensemble","balanced_accuracy",5,0.76603262505267,0.0981948439960289,0.0439140692430215,0.121925002599104
"46",10,2,1,"ensemble","accuracy",5,0.940534979423868,0.00462391050498855,0.00206787564220596,0.00574134320496047
"47",10,2,1,"ensemble","kappa",5,0.610252923772026,0.0317521996483339,0.0142000153697639,0.0394255631671145
"48",10,2,1,"ensemble","sensitivity",5,0.960133630289532,0.00468500756524781,0.00209519907819898,0.00581720522508048
"49",10,2,1,"ensemble","specificity",5,0.702702702702703,0.0505629376591073,0.0226124331495696,0.0627821793347349
"50",10,2,1,"ensemble","balanced_accuracy",5,0.831418166496118,0.0245229622816987,0.0109670021343083,0.0304492793944942
"51",11,2,2,"ensemble","accuracy",5,0.941152263374486,0.0072529040049443,0.00324359727786719,0.00900566978536724
"52",11,2,2,"ensemble","kappa",5,0.606915151004582,0.0431982885713329,0.0193188619514305,0.0536377597030412
"53",11,2,2,"ensemble","sensitivity",5,0.962360801781737,0.00796817096659167,0.00356347438752783,0.00989379102074936
"54",11,2,2,"ensemble","specificity",5,0.683783783783784,0.0608858396003719,0.027228975242716,0.0755997550321909
"55",11,2,2,"ensemble","balanced_accuracy",5,0.82307229278276,0.029336499752764,0.0131196815338172,0.0364260755763206
"56",12,2,3,"ensemble","accuracy",5,0.940740740740741,0.00556887596819932,0.00249047704463173,0.00691467280017523
"57",12,2,3,"ensemble","kappa",5,0.601573947783301,0.036019129904693,0.0161082445914578,0.0447236568492819
"58",12,2,3,"ensemble","sensitivity",5,0.962583518930958,0.00899870995582934,0.00402434543420771,0.0111733741824311
"59",12,2,3,"ensemble","specificity",5,0.675675675675676,0.0770388800742661,0.0344528345513026,0.0956564038501535
"60",12,2,3,"ensemble","balanced_accuracy",5,0.819129597303317,0.0353027852513796,0.0157878855234324,0.0438341974829569
"61",13,2,4,"ensemble","accuracy",5,0.941152263374486,0.00631690593950977,0.0028250062176432,0.00784347468512881
"62",13,2,4,"ensemble","kappa",5,0.610489923063765,0.043486094418415,0.01944757263911,0.0539951178618355
"63",13,2,4,"ensemble","sensitivity",5,0.961247216035635,0.00845885479502581,0.00378291486669555,0.0105030554650168
"64",13,2,4,"ensemble","specificity",5,0.697297297297297,0.0819770318275843,0.0366612431520285,0.101787929099916
"65",13,2,4,"ensemble","balanced_accuracy",5,0.829272256666466,0.0385260745122389,0.0172293843031176,0.0478364397139627
"66",14,2,5,"ensemble","accuracy",5,0.942181069958848,0.00683982310230233,0.0030588618821643,0.00849276210021118
"67",14,2,5,"ensemble","kappa",5,0.615111984470538,0.0508087570909187,0.0227223669415137,0.0630874044732739
"68",14,2,5,"ensemble","sensitivity",5,0.962360801781737,0.00655976680401923,0.00293361689806671,0.00814502627716285
"69",14,2,5,"ensemble","specificity",5,0.697297297297297,0.0785645505608034,0.0351351351351351,0.097550773966409
"70",14,2,5,"ensemble","balanced_accuracy",5,0.829829049539517,0.038241801944514,0.0171022537460034,0.0474834687009418
"71",15,2,6,"ensemble","accuracy",5,0.938477366255144,0.00438903889047355,0.00196283786299782,0.0054497115770172
"72",15,2,6,"ensemble","kappa",5,0.599825941497528,0.0405788718527978,0.0181474231826217,0.0503853242673431
"73",15,2,6,"ensemble","sensitivity",5,0.957906458797327,0.00853184022689438,0.00381555494410061,0.0105936788481614
"74",15,2,6,"ensemble","specificity",5,0.702702702702703,0.0926439810865006,0.041431647883124,0.115032695965378
"75",15,2,6,"ensemble","balanced_accuracy",5,0.830304580750015,0.0428338640176413,0.0191558863364856,0.0531852668546608
"76",16,2,7,"ensemble","accuracy",5,0.942181069958848,0.005700368385677,0.0025492822414329,0.00707794220099404
"77",16,2,7,"ensemble","kappa",5,0.61529804574146,0.0447376213747063,0.0200072725090982,0.055549093826244
"78",16,2,7,"ensemble","sensitivity",5,0.962360801781737,0.00355650766651923,0.00159051858096723,0.00441598752885261
"79",16,2,7,"ensemble","specificity",5,0.697297297297297,0.065229829114309,0.029171666412058,0.0809935304202212
"80",16,2,7,"ensemble","balanced_accuracy",5,0.829829049539517,0.0325017064020661,0.014535204979952,0.0403561987196342
"81",17,2,8,"ensemble","accuracy",5,0.941358024691358,0.00384944175594029,0.00172152268834173,0.00477971324153334
"82",17,2,8,"ensemble","kappa",5,0.615403692710598,0.0293147357300365,0.0131099483669607,0.0363990519728438
"83",17,2,8,"ensemble","sensitivity",5,0.960579064587973,0.00560123667704199,0.00250494919358619,0.00695485392730152
"84",17,2,8,"ensemble","specificity",5,0.708108108108108,0.0593672503688887,0.0265498414924169,0.0737141774553982
"85",17,2,8,"ensemble","balanced_accuracy",5,0.834343586348041,0.0278179866013213,0.0124405818075465,0.0345405924653753
"86",18,2,9,"ensemble","accuracy",5,0.939094650205761,0.00456632531299836,0.00204212276144847,0.0056698417452366
"87",18,2,9,"ensemble","kappa",5,0.544169025342497,0.0770179237619075,0.0344434626035043,0.0956303831515627
"88",18,2,9,"ensemble","sensitivity",5,0.969042316258352,0.0211053144596564,0.00943858356366017,0.0262057091353246
"89",18,2,9,"ensemble","specificity",5,0.575675675675676,0.206849475765696,0.0925058977844585,0.256837547105587
"90",18,2,9,"ensemble","balanced_accuracy",5,0.772358995967014,0.0930017954851974,0.0415916673468869,0.115476981222279
"91",19,3,1,"ensemble","accuracy",5,0.942798353909465,0.00802205295869052,0.00358757114694706,0.00996069435049
"92",19,3,1,"ensemble","kappa",5,0.610229926456752,0.0501381416375372,0.0224224585934092,0.062254725408171
"93",19,3,1,"ensemble","sensitivity",5,0.965256124721604,0.0059657439803915,0.00266796181530311,0.00740744952295294
"94",19,3,1,"ensemble","specificity",5,0.67027027027027,0.0433697473942736,0.019395540668118,0.053850653950661
"95",19,3,1,"ensemble","balanced_accuracy",5,0.817763197495937,0.0236885068741259,0.0105938223312033,0.0294131661568046
"96",20,3,2,"ensemble","accuracy",5,0.945473251028807,0.0083580642023004,0.00373783994333025,0.0103779074146721
"97",20,3,2,"ensemble","kappa",5,0.620026266284963,0.0536173445643646,0.0239784054437896,0.0665747264248577
"98",20,3,2,"ensemble","sensitivity",5,0.968819599109131,0.00599684276963754,0.00268186961665753,0.00744606376994748
"99",20,3,2,"ensemble","specificity",5,0.662162162162162,0.0416514459660066,0.01862709290823,0.0517171009291198
"100",20,3,2,"ensemble","balanced_accuracy",5,0.815490880635647,0.0233700535677833,0.010451405683075,0.0290177541512099
"101",21,3,3,"ensemble","accuracy",5,0.944238683127572,0.00865054444838595,0.00386864108579488,0.0107410696064223
"102",21,3,3,"ensemble","kappa",5,0.609368892277263,0.055567080676285,0.0248503539406777,0.0689956435610272
"103",21,3,3,"ensemble","sensitivity",5,0.968596881959911,0.00692754165478654,0.00309809081141282,0.00860167906880538
"104",21,3,3,"ensemble","specificity",5,0.648648648648649,0.0523376127865867,0.023406091994174,0.0649857295490337
"105",21,3,3,"ensemble","balanced_accuracy",5,0.80862276530428,0.0275818794594408,0.012334991483703,0.0342474267275835
"106",22,3,4,"ensemble","accuracy",5,0.943004115226337,0.00640839979522532,0.00286592351382391,0.00795707931182765
"107",22,3,4,"ensemble","kappa",5,0.608642712548984,0.0457717543371794,0.0204697508294708,0.0568331394951027
"108",22,3,4,"ensemble","sensitivity",5,0.965924276169265,0.00413678744343132,0.001850027586396,0.00513650003673005
"109",22,3,4,"ensemble","specificity",5,0.664864864864865,0.0518115932775157,0.0231708489182192,0.0643325900622674
"110",22,3,4,"ensemble","balanced_accuracy",5,0.815394570517065,0.026723366673192,0.0119510528937819,0.0331814423089008
"111",23,3,5,"ensemble","accuracy",5,0.944650205761317,0.00808120859533147,0.00361402635190335,0.0100341457747979
"112",23,3,5,"ensemble","kappa",5,0.616138250044929,0.0505874825015391,0.0226234099368045,0.062812655781924
"113",23,3,5,"ensemble","sensitivity",5,0.96792873051225,0.00596574398039148,0.0026679618153031,0.00740744952295292
"114",23,3,5,"ensemble","specificity",5,0.662162162162162,0.0393983236138196,0.0176194659600072,0.048919480020861
"115",23,3,5,"ensemble","balanced_accuracy",5,0.815045446337206,0.0221161998177519,0.00989066523929233,0.0274608890907831
"116",24,3,6,"ensemble","accuracy",5,0.94238683127572,0.0079358274797024,0.00354900994046508,0.00985363127750258
"117",24,3,6,"ensemble","kappa",5,0.609369803517121,0.0631255314737441,0.0282305958982189,0.0783806997984267
"118",24,3,6,"ensemble","sensitivity",5,0.964142538975501,0.0055344203295275,0.00247506801457606,0.00687189047410131
"119",24,3,6,"ensemble","specificity",5,0.678378378378378,0.0862115562580356,0.038554980047803,0.107045785634721
"120",24,3,6,"ensemble","balanced_accuracy",5,0.82126045867694,0.0429368034157432,0.0192019222348294,0.0533130829992807
"121",25,3,7,"ensemble","accuracy",5,0.9440329218107,0.00644955885541463,0.00288433040511857,0.00800818503506462
"122",25,3,7,"ensemble","kappa",5,0.615405545203469,0.0450341954631925,0.0201399044735422,0.0559173391947174
"123",25,3,7,"ensemble","sensitivity",5,0.966592427616927,0.00343230178339029,0.00153497202139089,0.0042617655554063
"124",25,3,7,"ensemble","specificity",5,0.67027027027027,0.0454263143620855,0.0203152653761796,0.0564042191144881
"125",25,3,7,"ensemble","balanced_accuracy",5,0.818431348943598,0.0242576130760061,0.0108483343619675,0.0301198048388336
