"","name","degree","degree_in","degree_out","eigen","community"
"1","307 Hospital of PLA",10,8,2,4.88385190453351e-10,"1"
"2","A.J.M. van den Eertwegh",1,0,1,0,"2"
"3","AB-CT - Advanced Breast-CT GmbH",2,0,2,0,"3"
"4","AC Camargo Cancer Center",4,3,1,3.42792698257526e-05,"4"
"5","AEterna Zentaris",2,0,2,0,"5"
"6","AGO Study Group",5,1,4,3.32628736119024e-05,"5"
"7","AHS Cancer Control Alberta",9,0,9,0,"6"
"8","AIDS Malignancy Consortium",7,1,6,0,"4"
"9","AIM ImmunoTech Inc.",2,1,1,1.04567958129515e-10,"7"
"10","AIO-Studien-gGmbH",21,2,19,1.91621899264045e-12,"5"
"11","AIQ Solutions",3,0,3,0,"7"
"12","ALX Oncology Inc.",2,1,1,1.96660703083272e-07,"5"
"13","ARCAGY/ GINECO GROUP",4,2,2,0.000206020337647355,"5"
"14","ARNA Genomics US Inc.",1,0,1,0,"8"
"15","ASL Verbano Cusio Ossola",1,0,1,0,"9"
"16","AUSL Romagna Rimini",2,0,2,0,"10"
"17","AVEO Pharmaceuticals, Inc.",4,2,2,1.33767791489672e-05,"11"
"18","AZ-VUB",2,0,2,0,"12"
"19","Aalborg University",6,1,5,0,"13"
"20","Aalborg University Hospital",9,6,3,4.19103147215056e-08,"13"
"21","Aarhus University Hospital",50,17,33,3.65528552481296e-07,"13"
"22","Abant Izzet Baysal University",3,2,1,0,"14"
"23","AbbVie",7,3,4,4.88399994662445e-07,"7"
"24","AbbVie (prior sponsor, Abbott)",1,0,1,0,"7"
"25","Abramson Cancer Center at Penn Medicine",16,2,14,2.74381586718042e-06,"7"
"26","Academic Emergency County Hospital Sibiu",1,0,1,0,"15"
"27","Academic Thoracic Oncology Medical Investigators Consortium",3,0,3,0,"5"
"28","Academic and Community Cancer Research United",3,2,1,1.78256599796192e-05,"7"
"29","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)",59,9,50,1.91847307606746e-06,"16"
"30","Academisch Ziekenhuis Maastricht",10,1,9,0,"5"
"31","Academy Military Medical Science, China",1,0,1,0,"1"
"32","Accelerated Community Oncology Research Network",5,0,5,0,"5"
"33","Accuray Incorporated",3,2,1,0,"17"
"34","Acerta Pharma BV",1,0,1,0,"11"
"35","Acibadem University",2,1,1,0,"14"
"36","Activ Surgical",2,0,2,0,"6"
"37","Adaptimmune",1,0,1,0,"18"
"38","Adrienne G. Waks",7,0,7,0,"7"
"39","Aduro Biotech, Inc.",4,1,3,0,"7"
"40","Advanced Imaging Projects, LLC",5,0,5,0,"19"
"41","Advanced Medical Solutions Ltd.",2,0,2,0,"20"
"42","AdventHealth",5,2,3,6.87881680109122e-06,"7"
"43","Aegera Therapeutics",1,0,1,0,"21"
"44","Aeon Therapeutics (Shanghai) Co., Ltd.",3,1,2,8.90308419279069e-11,"1"
"45","Aesculap AG",1,0,1,0,"22"
"46","Affiliated Cancer Hospital & Institute of Guangzhou Medical University",67,7,60,1.71080392080991e-10,"1"
"47","Affiliated Hospital of Nantong University",7,2,5,7.16830507369652e-10,"1"
"48","Affiliated Hospital of Qinghai University",7,5,2,1.01427130513745e-10,"1"
"49","Affiliated Hospital to Academy of Military Medical Sciences",1,0,1,0,"1"
"50","Aga Khan University",2,0,2,0,"23"
"51","Agendia",16,7,9,0.000268712662090894,"16"
"52","Ahmet Bilici",18,0,18,0,"14"
"53","Ahon Pharmaceutical Co., Ltd.",3,0,3,0,"1"
"54","Ain Shams University",11,1,10,0,"24"
"55","Air Force Military Medical University, China",15,8,7,8.13544069603766e-10,"1"
"56","Ajou University School of Medicine",4,3,1,7.28089795270846e-14,"25"
"57","Akeso",3,1,2,9.68899679833612e-11,"26"
"58","Al B. Benson, III, MD",2,0,2,0,"5"
"59","Alaunos Therapeutics",1,0,1,0,"7"
"60","Albany Medical College",2,1,1,2.559819463774e-06,"7"
"61","Albert Einstein College of Medicine",9,4,5,0.000647658363829487,"7"
"62","Albert Koong",1,0,1,0,"17"
"63","Alberta Health services",4,3,1,9.45065591297632e-07,"6"
"64","Alexander Z. Wei, MD",1,0,1,0,"7"
"65","Ali Shamseddine",2,0,2,0,"5"
"66","Alison Stopeck",4,0,4,0,"7"
"67","All India Institute of Medical Sciences, New Delhi",3,2,1,8.67096310676751e-07,"19"
"68","Allarity Therapeutics",2,0,2,0,"13"
"69","Alliance Foundation Trials, LLC.",21,3,18,0.000172138421576554,"5"
"70","Alliance for Clinical Trials in Oncology",33,9,24,0.0150593035540728,"7"
"71","Althaia Xarxa Assistencial Universitària de Manresa",17,2,15,1.60021291603554e-10,"24"
"72","Amal Therapeutics",1,0,1,0,"5"
"73","American College of Radiology",5,2,3,1.64390601084936e-08,"7"
"74","American College of Radiology Imaging Network",6,3,3,0.0256760497787189,"7"
"75","American Scitech International",2,0,2,0,"5"
"76","American University of Beirut Medical Center",2,0,2,0,"5"
"77","Amgen",64,58,6,0.00323255152547331,"5"
"78","Amphia Hospital",5,4,1,1.03775728902014e-06,"16"
"79","Amsterdam UMC, location VUmc",50,8,42,5.5392981233548e-06,"16"
"80","Amy C. Degnim",1,0,1,0,"7"
"81","Ana C Garrido-Castro, MD",2,0,2,0,"11"
"82","Andrea DeCensi",2,0,2,0,"10"
"83","Andrea McCart",1,0,1,0,"6"
"84","Andrei Iagaru",3,0,3,0,"7"
"85","Andrew Hendifar, MD",1,0,1,0,"27"
"86","Andrew Kennedy",1,0,1,0,"21"
"87","Andrew Ko",1,0,1,0,"5"
"88","Anglo Celtic Cooperative Oncology Group",2,1,1,0.000163696349131041,"28"
"89","Anhui Medical University",2,1,1,0,"1"
"90","Anhui Provincial Hospital",10,7,3,3.85794234566063e-09,"1"
"91","Ankara Etlik City Hospital",1,0,1,0,"29"
"92","Ankara University",5,2,3,0,"14"
"93","Ankit Sarin, MD, MHA",1,0,1,0,"7"
"94","Ann-Sofie Backman",1,0,1,0,"13"
